pair_id,a_id,a_stance,a_text,b_id,b_stance,b_text,label,note
con27c__con109b,con27c,con,"Uranium sources produce considerable environmental waste, including greenhouse gases, during all of these processes.",con109b,con,"Alternative methods would yield much more climate‑saving bang for our buck than nuclear power, according to some analysts.",none,
con27c__con9,con27c,con,"Uranium sources produce considerable environmental waste, including greenhouse gases, during all of these processes.",con9,con,Nuclear power plants could be preferred targets for terrorist attacks.,none,
con27c__con9b,con27c,con,"Uranium sources produce considerable environmental waste, including greenhouse gases, during all of these processes.",con9b,con,Nuclear waste could be preferred targets for terrorist attacks.,none,
con140__con23,con140,con,Cooling nuclear power plant operations often requires a whole lot of water.,con23,con,Building a plant with 100% security is technically impossible.,none,
con140__con152,con140,con,Cooling nuclear power plant operations often requires a whole lot of water.,con152,con,One of the biggest issues is environmental impact in relation to uranium.,none,
con140__con109,con140,con,Cooling nuclear power plant operations often requires a whole lot of water.,con109,con,"Recent price estimates for a large nuclear plant in Florida are $12 billion to $18 billion, and the nuclear industry has a history of 250 percent cost overruns.",none,
con140__con109b,con140,con,Cooling nuclear power plant operations often requires a whole lot of water.,con109b,con,"Alternative methods would yield much more climate‑saving bang for our buck than nuclear power, according to some analysts.",none,
con140__con9,con140,con,Cooling nuclear power plant operations often requires a whole lot of water.,con9,con,Nuclear power plants could be preferred targets for terrorist attacks.,none,
con140__con9b,con140,con,Cooling nuclear power plant operations often requires a whole lot of water.,con9b,con,Nuclear waste could be preferred targets for terrorist attacks.,none,
con140b__con23,con140b,con,The drawing and releasing of large amounts of water for cooling can affect aquatic wildlife.,con23,con,Building a plant with 100% security is technically impossible.,none,
con140b__con152,con140b,con,The drawing and releasing of large amounts of water for cooling can affect aquatic wildlife.,con152,con,One of the biggest issues is environmental impact in relation to uranium.,none,
con140b__con109,con140b,con,The drawing and releasing of large amounts of water for cooling can affect aquatic wildlife.,con109,con,"Recent price estimates for a large nuclear plant in Florida are $12 billion to $18 billion, and the nuclear industry has a history of 250 percent cost overruns.",none,
con140b__con109b,con140b,con,The drawing and releasing of large amounts of water for cooling can affect aquatic wildlife.,con109b,con,"Alternative methods would yield much more climate‑saving bang for our buck than nuclear power, according to some analysts.",none,
con140b__con9,con140b,con,The drawing and releasing of large amounts of water for cooling can affect aquatic wildlife.,con9,con,Nuclear power plants could be preferred targets for terrorist attacks.,none,
con140b__con9b,con140b,con,The drawing and releasing of large amounts of water for cooling can affect aquatic wildlife.,con9b,con,Nuclear waste could be preferred targets for terrorist attacks.,none,
con23__con152,con23,con,Building a plant with 100% security is technically impossible.,con152,con,One of the biggest issues is environmental impact in relation to uranium.,none,
con23__con109,con23,con,Building a plant with 100% security is technically impossible.,con109,con,"Recent price estimates for a large nuclear plant in Florida are $12 billion to $18 billion, and the nuclear industry has a history of 250 percent cost overruns.",none,
con23__con109b,con23,con,Building a plant with 100% security is technically impossible.,con109b,con,"Alternative methods would yield much more climate‑saving bang for our buck than nuclear power, according to some analysts.",none,
con23__con9,con23,con,Building a plant with 100% security is technically impossible.,con9,con,Nuclear power plants could be preferred targets for terrorist attacks.,none,
con23__con9b,con23,con,Building a plant with 100% security is technically impossible.,con9b,con,Nuclear waste could be preferred targets for terrorist attacks.,none,
con152__con109,con152,con,One of the biggest issues is environmental impact in relation to uranium.,con109,con,"Recent price estimates for a large nuclear plant in Florida are $12 billion to $18 billion, and the nuclear industry has a history of 250 percent cost overruns.",none,
con152__con109b,con152,con,One of the biggest issues is environmental impact in relation to uranium.,con109b,con,"Alternative methods would yield much more climate‑saving bang for our buck than nuclear power, according to some analysts.",none,
con152__con9,con152,con,One of the biggest issues is environmental impact in relation to uranium.,con9,con,Nuclear power plants could be preferred targets for terrorist attacks.,none,
con152__con9b,con152,con,One of the biggest issues is environmental impact in relation to uranium.,con9b,con,Nuclear waste could be preferred targets for terrorist attacks.,none,
con109__con9,con109,con,"Recent price estimates for a large nuclear plant in Florida are $12 billion to $18 billion, and the nuclear industry has a history of 250 percent cost overruns.",con9,con,Nuclear power plants could be preferred targets for terrorist attacks.,none,
con109__con9b,con109,con,"Recent price estimates for a large nuclear plant in Florida are $12 billion to $18 billion, and the nuclear industry has a history of 250 percent cost overruns.",con9b,con,Nuclear waste could be preferred targets for terrorist attacks.,none,
con109b__con9,con109b,con,"Alternative methods would yield much more climate‑saving bang for our buck than nuclear power, according to some analysts.",con9,con,Nuclear power plants could be preferred targets for terrorist attacks.,none,
con109b__con9b,con109b,con,"Alternative methods would yield much more climate‑saving bang for our buck than nuclear power, according to some analysts.",con9b,con,Nuclear waste could be preferred targets for terrorist attacks.,none,
